"","tagid","focal1","focal2","Session","GMT_start","GMT_end"
"3","gm08_150","gm08_150c","","MFAS",2008-05-29 16:12:00,2008-05-29 16:50:21
"4","gm08_150","gm08_150c","","LFAS",2008-05-29 18:05:00,2008-05-29 18:36:00
"8","gm08_154","gm08_154d","","LFAS",2008-06-03 01:15:00,2008-06-03 02:35:21
"9","gm08_154","gm08_154d","","MFAS",2008-06-03 03:35:00,2008-06-03 04:00:21
"15","gm08_159","gm08_159a","","SIL",2008-06-07 23:07:00,2008-06-07 23:37:41
"16","gm08_159","gm08_159a","","LFAS",2008-06-08 00:33:00,2008-06-08 01:08:21
"17","gm08_159","gm08_159a","","MFAS",2008-06-08 02:10:00,2008-06-08 02:46:21
"18","gm08_159","gm08_159a","","PB_KWF",2008-06-08 04:38:00,2008-06-08 04:56:40
"19","gm08_159","gm08_159a","","PB_KWF",2008-06-08 05:08:10,2008-06-08 05:26:00
"30","gm09_138","gm09_138a","gm09_138b","LFAS",2009-05-18 14:42:00,2009-05-18 15:14:00
"31","gm09_138","gm09_138a","gm09_138b","MFAS",2009-05-18 16:40:00,2009-05-18 17:15:00
"32","gm09_138","gm09_138a","gm09_138b","SIL",2009-05-18 18:40:00,2009-05-18 19:14:00
"33","gm09_138","gm09_138a","gm09_138b","LFASDS",2009-05-18 20:32:00,2009-05-18 21:05:00
"34","gm09_138","gm09_138b","","PB_KWF",2009-05-19 02:17:00,2009-05-19 02:37:41
"35","gm09_138","gm09_138b","","PB_KWF",2009-05-19 02:48:00,2009-05-19 03:15:00
"43","gm09_156","gm09_156b","","SIL",2009-06-05 23:30:00,2009-06-06 00:02:00
"44","gm09_156","gm09_156b","","LFAS",2009-06-06 01:36:00,2009-06-06 02:09:00
"45","gm09_156","gm09_156b","","MFAS",2009-06-06 03:10:00,2009-06-06 03:37:00
"46","gm09_156","gm09_156b","","LFASDS",2009-06-06 04:55:00,2009-06-06 05:25:00
"47","gm09_156","gm09_156b","","PB_KWF",2009-06-06 06:50:30,2009-06-06 07:09:45
"48","gm09_156","gm09_156b","","PB_KWF",2009-06-06 07:14:59,2009-06-06 07:33:29
"61","gm10_000","gm10_000a","","PB_BBN",2010-05-24 04:02:54,2010-05-24 04:16:53
"62","gm10_000","gm10_000a","","PB_KWF",2010-05-24 04:35:01,2010-05-24 04:49:16
"63","gm10_000","gm10_000a","","PB_BBN",2010-05-24 05:15:00,2010-05-24 05:28:59
"64","gm10_000","gm10_000a","","PB_KWF",2010-05-24 05:34:10,2010-05-24 05:48:40
"85","gm10_157","gm10_157b","","PB_BBN",2010-06-06 14:48:00,2010-06-06 15:02:40
"86","gm10_157","gm10_157b","","PB_BBN",2010-06-06 15:13:00,2010-06-06 15:28:00
"107","gm10_158","gm10_158d","","PB_BBN",2010-06-07 19:59:47,2010-06-07 20:14:30
"108","gm10_158","gm10_158d","","PB_KWF",2010-06-07 20:18:42,2010-06-07 20:33:40
"109","gm10_158","gm10_158d","","PB_BBN",2010-06-07 20:43:30,2010-06-07 20:58:20
"110","gm10_158","gm10_158d","","PB_KWF",2010-06-07 21:00:56,2010-06-07 21:16:10
"115","gm13_137","gm13_137a","","PB_HW",2013-05-17 17:09:55,2013-05-17 17:24:55
"116","gm13_137","gm13_137a","","PB_KWM",2013-05-17 19:04:00,2013-05-17 19:19:00
"119","gm13_149","gm13_149a","","PB_SON",2013-05-29 11:40:40,2013-05-29 11:55:40
"120","gm13_149","gm13_149a","","PB_KWM",2013-05-29 13:37:26,2013-05-29 13:52:25
"124","gm13_169","gm13_169a","gm13_169b","PB_KWM",2013-06-18 11:23:40,2013-06-18 11:39:00
"125","gm13_169","gm13_169a","gm13_169b","PB_SON",2013-06-18 12:26:25,2013-06-18 12:41:25
"126","gm13_169","gm13_169a","gm13_169b","PB_BBN",2013-06-18 14:26:17,2013-06-18 14:41:16
"130","gm14_180","gm14_180a","gm14_180b","PB_SON",2014-06-29 13:27:58,2014-06-29 13:44:00
"131","gm14_180","gm14_180a","gm14_180b","PB_KWM",2014-06-29 15:16:00,2014-06-29 15:31:00
